Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer
Investors - Explore work & other partnerships,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2
Investors - Acquire customers,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2
Investors - Explore shared interests,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2
Financial Advisors - Explore new perspectives,0.9,0.1,0.1,0.9,0.9,0.1,0.9,0.1,0.1,0.1,0.1,0.3,0.9,0.9,0.9,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Financial Advisors - Meet Interesting People,0.9,0.2,0.2,0.9,0.9,0.2,0.9,0.2,0.2,0.2,0.2,0.5,0.9,0.9,0.9,0.2,0.2,0.1,0.5,0.5,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2
Financial Advisors - Start a Company,0.9,0.2,0.2,0.9,0.9,0.2,0.9,0.2,0.2,0.2,0.2,0.4,0.9,0.9,0.9,0.2,0.2,0.1,0.4,0.4,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
Financial Advisors - Provide Job opportunities,0.8,0.1,0.1,0.8,0.8,0.1,0.8,0.1,0.1,0.1,0.1,0.2,0.8,0.8,0.8,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Financial Advisors - Explore job opportunities,0.8,0.1,0.1,0.8,0.9,0.1,0.8,0.1,0.1,0.1,0.1,0.6,0.8,0.8,0.8,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Financial Advisors - Invest in companies / make investor introductions,0.8,0.1,0.5,0.8,0.8,0.3,0.8,0.5,0.2,0.1,0.5,0.3,0.8,0.8,0.8,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1
Financial Advisors - Make investor relations,0.5,0.1,0.1,0.8,0.8,0.1,0.5,0.1,0.1,0.1,0.1,0.3,0.8,0.8,0.8,0.1,0.1,0.1,0.6,0.6,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Financial Advisors - Mentor others,0.7,0.1,0.2,0.8,0.7,0.2,0.7,0.2,0.2,0.1,0.2,0.4,0.8,0.8,0.8,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Financial Advisors - Mentor people,0.7,0.1,0.2,0.8,0.7,0.2,0.7,0.2,0.2,0.1,0.2,0.4,0.8,0.8,0.8,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Financial Advisors - Find a mentor,0.8,0.1,0.1,0.9,0.9,0.1,0.7,0.1,0.1,0.1,0.1,0.2,0.9,0.9,0.9,0.1,0.1,0.1,0.3,0.3,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Financial Advisors - Share my industry expertise,0.7,0.1,0.2,0.8,0.7,0.2,0.7,0.2,0.2,0.1,0.2,0.4,0.8,0.8,0.8,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Financial Advisors - Learn about specific industries,0.8,0.1,0.1,0.9,0.9,0.1,0.7,0.1,0.1,0.1,0.1,0.2,0.9,0.9,0.9,0.1,0.1,0.1,0.3,0.3,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Financial Advisors - Share product or technical knowledge,0.7,0.1,0.2,0.8,0.7,0.2,0.7,0.2,0.2,0.1,0.2,0.4,0.8,0.8,0.8,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Financial Advisors - Speak with product or technical experts,0.7,0.1,0.2,0.8,0.7,0.2,0.7,0.2,0.2,0.1,0.2,0.4,0.8,0.8,0.8,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
Financial Advisors - Explore work & other partnerships,0.8,0.2,0.1,0.9,0.9,0.1,0.8,0.1,0.1,0.2,0.1,0.3,0.9,0.9,0.9,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1
Financial Advisors - Acquire customers,0.8,0.2,0.1,0.9,0.9,0.1,0.8,0.1,0.1,0.2,0.1,0.3,0.9,0.9,0.9,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1
Financial Advisors - Explore shared interests,0.8,0.2,0.1,0.9,0.9,0.1,0.8,0.1,0.1,0.2,0.1,0.4,0.9,0.9,0.9,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2
