Manufacturer,Model,Price Display,Price
Hipstreet,LS-5507,"7,000.00",7000
OPPO,CPH1609,"7,000.00",7000
LYF,LS-5201,"7,000.00",7000
TECNO,TECNO i3,"7,000.00",7000
10or,G,"7,000.00",7000
mobiistar,E1 Selfie,"7,000.00",7000
HUAWEI,DRA-LX5,"7,000.00",7000
HMD Global,Nokia 2.3,"7,000.00",7000
Micromax,Micromax Q426,"7,100.00",7100
motorola,Moto G (5S),"7,350.00",7350
LENOVO,Lenovo K50a40,"7,399.00",7399
samsung,SM-J200G,"7,400.00",7400
LENOVO,Lenovo K8 Plus,"7,499.00",7499
lenovo,Lenovo K8 Note,"7,499.00",7499
Coolpad,1826-I01,"7,500.00",7500
samsung,SM-J500F,"7,990.00",7990
samsung,SM-J510FN,"7,990.00",7990
samsung,SM-A105F,"7,999.00",7999
INFINIX MOBILITY LIMITED,Infinix X5515I,"7,999.00",7999
Micromax,Micromax Q4310,"7,999.00",7999
INFINIX MOBILITY LIMITED,Infinix X680D,"7,999.00",7999
motorola,XT1663,"7,999.00",7999
LENOVO,Lenovo A7010a48,"7,999.00",7999
INFINIX MOBILITY LIMITED,Infinix X627V,"7,999.00",7999
motorola,moto e(6s),"7,999.00",7999
vivo,vivo 1820,"8,000.00",8000
OPPO,CPH1803,"8,000.00",8000
HMD Global,Nokia 2.2,"8,000.00",8000
Xiaomi,Redmi 7A,"8,000.00",8000
Xiaomi,Redmi 5A,"8,000.00",8000
OPPO,CPH1717,"8,000.00",8000
realme,RMX2185,"8,000.00",8000
vivo,vivo 1610,"8,000.00",8000
Xiaomi,Redmi 5 Plus,"8,000.00",8000
Realme,RMX1827,"8,000.00",8000
asus,Zenfone Max Pro M1,"8,000.00",8000
Xiaomi,Redmi 7,"8,000.00",8000
vivo,vivo 1816,"8,000.00",8000
vivo,vivo 1908,"8,000.00",8000
vivo,vivo 1801,"8,000.00",8000
Xiaomi,M2006C3LII,"8,000.00",8000
TECNO MOBILE LIMITED,TECNO KE5,"8,000.00",8000
TECNO MOBILE LIMITED,TECNO KE6,"8,000.00",8000
TECNO MOBILE LIMITED,TECNO KB2,"8,000.00",8000
vivo,vivo 1814,"8,000.00",8000
Micromax,ione note,"8,000.00",8000
OPPO,A37fw,"8,000.00",8000
HMD Global,Nokia 3.2,"8,000.00",8000
vivo,vivo 2015,"8,000.00",8000
LGE,LG-K520,"8,000.00",8000
TECNO MOBILE LIMITED,TECNO KE5k,"8,000.00",8000
TECNO MOBILE LIMITED,TECNO KC1j,"8,000.00",8000
itel,itel S41,"8,000.00",8000
vivo,vivo 1611,"8,000.00",8000
TECNO MOBILE LIMITED,TECNO KB3,"8,000.00",8000
realme,RMX3171,"8,000.00",8000
samsung,SM-J415F,"8,243.00",8243
samsung,SM-A107F,"8,290.00",8290
motorola,moto e(7) power,"8,299.00",8299
samsung,SM-M115F,"8,999.00",8999
motorola,Moto G Play,"8,999.00",8999
Xiaomi,Redmi Note 7S,"9,000.00",9000
OPPO,RMX1805,"9,000.00",9000
TECNO MOBILE LIMITED,TECNO CE7,"9,000.00",9000
asus,ASUS_X00DDB,"9,000.00",9000
HMD Global,TA-1032,"9,000.00",9000
TECNO MOBILE LIMITED,TECNO KD7,"9,000.00",9000
Xiaomi,M2006C3MII,"9,000.00",9000
asus,ASUS_X00PD,"9,000.00",9000
Realme,RMX1831,"9,000.00",9000
OPPO,CPH1801,"9,000.00",9000
realme,RMX2189,"9,000.00",9000
Chino-e,VOTO V2i,"9,000.00",9000
OPPO,CPH1827,"9,000.00",9000
HUAWEI,DUA-AL00,"9,000.00",9000
vivo,vivo Y21L,"9,000.00",9000
TECNO MOBILE LIMITED,TECNO KD7h,"9,000.00",9000
TECNO MOBILE LIMITED,TECNO CB7,"9,000.00",9000
vivo,vivo Y51L,"9,000.00",9000
